,name,location,start_date,submission_deadline,notification_due,final_version_deadline,detected_conference_name,detected_location,detected_start_date,detected_submission_deadline,detected_notification_due,detected_final_version_deadline
0,IEEE Workshop on Pervasive Group Communication @ IEEE GLOBECOM 2010,"Miami, FL, USA",06/12/2010,11/07/2010,12/08/2010,31/08/2010,IEEE Workshop on Pervasive Group Communication @ IEEE GLOBECOM 2010,Miami,06/12/2010,25/06/2010,12/08/2010,31/08/2010
1,3rd International Symposium on Computational Intelligence and Design,"Hangzhou, China",29/10/2010,10/06/2010,25/06/2010,10/07/2010,3rd International Symposium on Computational Intelligence and Design,Hangzhou,29/10/2010,10/06/2010,25/06/2010,10/07/2010
2,17th ACM Conference on Computer and Communications Security,"Chicago, IL",04/10/2010,17/04/2010,21/06/2010,16/07/2010,The 17th ACM Conference on Computer and Communications Security,,17/04/2010,17/04/2010,21/06/2010,16/07/2010
3,First Workshop on Automated Knowledge Base Construction,"Grenoble, France",17/05/2010,05/03/2010,02/04/2010,03/05/2010,First Workshop on Automated Knowledge Base Construction 2010,Grenoble,01/05/2010,05/03/2010,02/04/2010,03/05/2010
4,North-Eastern Student Colloquium on Artificial Intelligence,"University of Massachusetts, Amherst, MA",16/04/2010,05/03/2010,22/03/2010,05/04/2010,"Due to generous sponsorship, a small $50 registration fee covers conference costs and two nights of accommodation",MA,16/04/2018,01/03/2010,22/03/2010,05/04/2010
5,IADIS International Conference e-Learning 2010,"Freiburg, Germany",26/07/2010,15/03/2010,12/04/2010,07/05/2010,IADIS INTERNATIONAL CONFERENCE E-LEARNING 2010,Freiburg,26/07/2010,15/03/2010,12/04/2010,
6,IADIS International Conference Intelligent Systems and Agents 2010,"Freiburg, Germany",29/07/2010,15/03/2010,12/04/2010,07/05/2010,IADIS INTERNATIONAL CONFERENCE INTELLIGENT SYSTEMS AND AGENTS 2010,Freiburg,29/07/2010,15/03/2010,12/04/2010,
7,IADIS International Conference Wireless Applications and Computing 2010,"Freiburg, Germany",26/07/2010,15/03/2010,12/04/2010,07/05/2010,IADIS INTERNATIONAL CONFERENCE WIRELESS APPLICATIONS AND COMPUTING 2010,Freiburg,01/07/2010,15/03/2010,12/04/2010,
8,IADIS International Conference Web Based Communities 2010,"Freiburg, Germany",29/07/2010,15/03/2010,12/04/2010,07/05/2010,IADIS INTERNATIONAL CONFERENCE WEB BASED COMMUNITIES 2010,Freiburg,01/07/2010,15/03/2010,12/04/2010,
9,CLEF 2010 - Conference on Multilingual and Multimodal Information Access,"Padua, Italy",20/09/2010,02/05/2010,11/06/2010,25/06/2010,CLEF 2010 - Conference on Multilingual and Multimodal Information Access,Italy,20/09/2021,01/05/2010,11/06/2010,25/06/2010
10,Fifth IEEE International Workshop on Practical Issues in Building Sensor Network Applications,"Denver, CO, USA",11/10/2010,22/05/2010,06/07/2010,28/07/2010,The Fifth IEEE International Workshop on Practical Issues in Building Sensor Network Applications,Sensor,11/10/2010,01/05/2010,06/07/2010,
11,4th International Workshop on Large Scale Distributed Systems and Middleware,"Zurich, Switzerland",28/07/2010,01/05/2010,15/06/2010,05/07/2010,The 4th International Workshop on Large Scale Distributed Systems and Middleware,Switzerland,28/07/2010,01/05/2010,15/06/2010,05/07/2010
12,The 1st International Conference on Pervasive Networked Services and Internet of Things,"Chongqing, China",12/07/2010,15/03/2010,12/04/2010,10/05/2010,The 1st International Conference on Pervasive Networked Services and Internet of Things,Chongqing,12/07/2010,15/03/2010,12/04/2010,15/03/2010
13,22nd Annual Psychology of Programming Interest Group,"Madrid, Spain",19/09/2010,12/04/2010,17/05/2010,01/06/2010,22nd Annual Psychology of Programming Interest Group,Madrid,19/09/2021,29/03/2010,17/05/2010,01/06/2010
14,Second International Workshop on Collaborative Agents -- REsearch and development (CARE),"Toronto, Canada",31/08/2010,16/04/2010,28/05/2010,07/06/2010,Second INTERNATIONAL WORKSHOP on Collaborative Agents -- REsearch and Development (CARE) 2010,Toronto,30/04/2020,14/04/2010,28/05/2010,07/06/2010
15,IEEE GLOBECOM 2010 Next-Generation Networking (NGN) Symposium,"Miami, FL",06/12/2010,15/03/2010,01/07/2010,01/08/2010,IEEE GLOBECOM 2010 Next-Generation Networking (NGN) Symposium,Miami,06/12/2010,15/03/2010,01/07/2010,01/08/2010
16,Fourth International Workshop on Trustworthy Ubiquitous Computing ,"Paris, France",08/11/2010,31/07/2010,30/08/2010,30/09/2010,Fourth International Workshop on Trustworthy Ubiquitous Computing,Paris,08/11/2010,31/07/2010,30/08/2010,30/09/2010
17,2nd International Workshop on Reliable Networks Design and Modeling,"Moscow, Russia",18/10/2010,15/05/2010,20/06/2010,05/07/2010,2nd International Workshop on Reliable Networks Design and Modeling,Moscow,18/10/2010,15/05/2010,20/06/2010,05/07/2010
18,2nd Symposium on Progress in Information and Communication Technology,"Kuala Lumpur, Malaysia",12/12/2010,01/09/2010,15/09/2010,15/10/2010,2nd Symposium on Progress in Information and Communication Technology,Kuala Lumpur,12/12/2010,01/08/2010,01/09/2010,15/10/2010
19,10th International Workshop on Worst-Case Execution Time Analysis,"Brussels, Belgium",06/07/2010,13/04/2010,14/05/2010,10/06/2010,10th International Workshop on Worst-Case Execution Time Analysis,Brussels,06/07/2010,13/04/2010,14/05/2010,10/06/2010
20,International Electron Devices and Materials Symposium,"Chungli, Taiwan",18/11/2010,31/07/2010,31/08/2010,30/09/2010,The International Electron Devices and Materials Symposium (IEDMS) 2010,Taiwan,30/04/2020,31/07/2010,31/08/2010,30/09/2010
21,The 2nd Workshop on Privacy and Security in Pervasive and Ambient Intelligence Environments,"Samos, Greece",23/06/2010,15/03/2010,24/03/2010,30/03/2010,The 2nd Workshop on Privacy and Security in Pervasive and Ambient Intelligence Environments,Samos,23/06/2010,15/03/2010,25/03/2010,30/03/2010
22,2nd International Conference on Information Science and Engineering,"Hangzhou, China",03/12/2010,01/08/2010,20/08/2010,15/09/2010,2nd International Conference on Information Science and Engineering,Hangzhou,01/06/2010,01/06/2010,15/08/2010,
23,Seventh International Conference on Data Integration in the Life Sciences,"Gothenburg, Sweden",25/08/2010,18/04/2010,17/05/2010,07/06/2010,Seventh International Conference on Data Integration in the Life Sciences,Gothenburg,25/08/2010,11/04/2010,01/05/2010,07/06/2010
24,Twelfth IEEE Workshop on Control and Modeling for Power Electronics (COMPEL 2010),"Boulder, USA",28/06/2010,02/04/2010,07/05/2010,26/06/2010,Twelfth IEEE Workshop on Control and Modeling for Power Electronics (COMPEL 2010),,02/04/2010,02/04/2010,07/05/2010,26/06/2010
25,5th Advanced Satellite Multimedia Systems Conference and the 11th Signal Processing for Space Communications Workshop,"Cagliari, Italy",13/09/2010,11/04/2010,15/05/2010,15/05/2010,The 5th Advanced Satellite Multimedia Systems Conference and the 11th Signal Processing for Space Communications Workshop,"Pula, Cagliari",15/03/2010,15/03/2010,15/05/2010,15/06/2010
26,The International Symposium on Wireless Personal Multimedia Communications,"Recife, Pernambuco, Brazil",11/10/2010,10/03/2010,10/04/2010,10/06/2010,"The International Symposium on Wireless Personal Multimedia Communications 2010 will be held in  Recife, Brazil",Recife,01/05/2020,10/03/2010,10/06/2010,10/07/2010
27,IEEE 2010 CBSA: Conference for Cloud-based Services and Applications,"Miami Florida, USA",05/07/2010,01/04/2010,15/04/2010,30/04/2010,IEEE 2010 CBSA: Conference for Cloud-based Services and Applications,Florida,05/07/2010,01/04/2010,15/04/2010,30/04/2010
28,ACL 2010 workshop on  NLP and Linguistics: Finding the Common Ground,"Uppsala, Sweden",16/07/2010,04/05/2010,06/05/2010,16/05/2010,ACL 2010 workshop on  NLP and Linguistics: Finding the Common Ground,Sweden,20/03/2020,05/04/2010,06/05/2010,16/05/2010
29,TextGraphs-5: Conference for Graph-based Methods for Natural Language Processing,"Uppsala, Sweden",16/07/2010,05/04/2010,06/05/2010,04/06/2010,TextGraphs-5: Conference for Graph-based Methods for Natural Language Processing,Uppsala,16/07/2010,05/04/2010,30/04/2020,04/06/2010
30,Fifth IEEE Workshop On Networking Technologies For Softward Defined Radio (Sdr) Networks,"Boston, USA",21/06/2010,31/03/2010,30/04/2010,09/05/2010,Fifth IEEE Workshop On Networking Technologies For Softward Defined Radio (Sdr) Networks,,21/06/2010,31/03/2010,30/04/2010,31/03/2010
31,UT Austin French and Italian Graduate Students Organization Conference,UT Austin,09/04/2010,25/02/2010,25/02/2010,02/04/2010,UT Austin French and Italian Graduate Students Organization Conference,Austin,09/04/2010,25/02/2010,,
32,First International Workshop on Parallel Software Tools and Tool Infrastructures,"San Diego, CA",13/09/2010,26/04/2010,07/06/2010,28/06/2010,First International Workshop on Parallel Software,San Diego,01/05/2039,26/04/2010,,28/06/2010
33,"The 5th International Conference on Bio-Inspired Models of Network, Information and Computing Systems","Boston, MA, USA",01/12/2010,30/07/2010,12/09/2010,10/10/2010,"The 5th International Conference on Bio-Inspired Models of Network, Information and Computing Systems",Boston,30/07/2020,30/07/2020,12/09/2010,10/10/2020
34,Fifth IEEE Workshop On Wireless Mesh Networks,"Boston, USA",21/06/2010,02/04/2010,02/05/2010,10/05/2010,Fifth IEEE Workshop On Wireless Mesh Networks,,21/07/2010,02/04/2010,02/05/2010,10/05/2010
35,The 38th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,"San, Diego, CA, USA",26/01/2011,15/07/2010,03/10/2010,09/11/2010,The 38th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,USA,14/07/2010,14/07/2010,08/10/2010,09/11/2010
36,"Workshop on Multilinguality in Information Access Evaluation: Bringing Content, Users, Languages and Tasks into the Loop","Milton Keynes, United Kingdom",28/03/2010,12/02/2010,26/02/2010,10/03/2010,"Workshop on Multilinguality in Information Access Evaluation: Bringing Content, Users, Languages and Tasks into the Loop",,28/03/2010,12/02/2010,26/02/2010,10/03/2010
37,The Sixth International Workshop on Agents and Data Mining Interaction (ADMI-10),"Toronto, Canada",10/05/2010,20/02/2010,05/03/2010,15/03/2010,The Sixth International Workshop on Agents and Data Mining Interaction (ADMI-10),Toronto,20/02/2010,20/02/2010,05/03/2010,15/03/2010
38,The First IEEE International Workshop on Emerging Applications for Cloud Computing,"Seoul, South Korea",19/07/2010,01/03/2010,30/03/2010,30/04/2010,The First IEEE International Workshop on Emerging Applications for Cloud Computing,Seoul,19/07/2010,01/03/2010,30/03/2010,30/04/2010
39,6th EuroNF Conference on Next Generation Internet,"Paris, France",02/06/2010,26/03/2010,30/04/2010,14/05/2010,6th EuroNF Conference on Next Generation Internet,Paris,26/03/2010,26/03/2010,30/04/2010,14/05/2010
40,12th International Conference on Information Integration and Web-based Applications & Services,"Paris, France",08/11/2010,04/06/2010,09/08/2010,30/08/2010,12th International Conference on Information Integration and Web-based Applications & Services,Paris,08/11/2010,04/06/2010,09/08/2010,30/08/2010
41,Artificial Intelligence and Logistics - Workshop at ECAI 2010,"Lisbon, Portugal",17/08/2010,11/05/2010,09/06/2010,21/06/2010,Artificial Intelligence and Logistics - Workshop at ECAI 2010,Lisbon,17/08/2010,11/05/2010,07/06/2010,21/06/2010
42,"IADIS International Conference ICT, Society, and Human Beings 2010","Freiburg, Germany",19/07/2010,15/03/2010,12/04/2010,07/05/2010,"IADIS International Conference ICT, Society, and Human Beings 2010",Freiburg,29/07/2010,15/03/2010,12/04/2010,
43,12th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,"Timisoara, Romania",23/09/2010,30/05/2010,15/08/2010,08/09/2010,The 12th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,,15/03/2010,01/05/2010,15/08/2010,01/11/2010
44,International workshop on Distributed Architecture modeling for Novel Component based Embedded systems,"Tozeur, Tunisia",29/05/2010,01/03/2010,20/03/2010,10/04/2010,International workshop on Distributed Architecture modeling for Novel Component based Embedded systems,Tozeur,01/05/2010,01/03/2020,20/03/2010,10/04/2010
45,10th International Symposium on Communications and Information Technologies,"Tokyo, Japan",26/10/2010,15/04/2010,10/06/2010,10/07/2010,"The 10th International Symposium on Communications and Information Technologies will be held in Meiji University, Tokyo, Japan",Tokyo,15/04/2010,15/04/2010,10/06/2010,10/07/2010
46,2010 International Forum on Strategic Technologies (IFOST 2010),"Ulsan, Korea (South)",13/10/2010,30/06/2010,30/07/2010,31/08/2010,2010 International Forum on Strategic Technologies (IFOST 2010),Ulsan,15/10/2020,,,
47,Workshop for Negation and Speculation in Natural Language Processing,"Uppsala, Sweden",10/07/2010,14/05/2010,15/06/2010,25/06/2010,Workshop for Negation and Speculation in Natural Language Processing,Uppsala,10/07/2020,10/07/2010,15/06/2020,25/06/2020
48,The 4th e-Science Workshop,"Belo Horizonte, MG, Brazil",20/07/2010,08/03/2010,19/04/2010,17/05/2010,The 4th e-Science Workshop,MG,20/07/2010,08/03/2010,19/04/2010,17/05/2010
49,1st International Workshop on Reuse in Business Process Management,"Hoboken, NJ-USA (close to New York City)",13/09/2010,30/05/2010,30/06/2010,25/07/2010,1st International Workshop on Reuse in Business Process Management,B2B,13/09/2010,01/05/2010,30/06/2010,25/07/2010
50,PRICAI 2010 Special Session on Methods for the (Semi-)automatic Creation of Language Resources for Asian Languages,"Daegu, Korea",30/08/2010,31/03/2010,15/05/2010,31/05/2010,PRICAI 2010 Special Session on Methods for the (Semi-)automatic,Daegu,02/05/2010,31/03/2010,15/05/2010,31/05/2010
51,Reliable and Autonomous Computational Science Conference,"Atlanta, GA, USA",27/10/2010,31/05/2010,30/06/2010,31/08/2010,Reliable and Autonomous Computational Science Conference,Atlanta,10/03/2010,,,31/05/2010
52,Fourth Symposium on Semantic Mining in Biomedicine,"Hinxton, Cambridgeshire, UK",25/10/2010,30/07/2010,30/08/2010,24/09/2010,The Fourth Symposium on Semantic Mining in Biomedicine,Biomedicine,25/10/2010,30/07/2010,30/08/2010,24/09/2010
53,International Symposium on Wireless Pervasive Computing ISWPC 2010,"Modena, Italy",05/05/2010,25/01/2010,01/03/2010,25/03/2010,International Symposium on Wireless Pervasive Computing,USA,25/01/2010,25/01/2010,01/03/2010,25/03/2010
54,Evaluation of Information Filtering Systems in a Competitive Intelligence Framework,"Valletta, Malta",22/05/2010,28/02/2010,22/03/2010,04/04/2010,Evaluation of Information Filtering Systems in a Competitive Intelligence Framework Workshop,Malta,01/05/2010,28/02/2010,22/03/2010,04/04/2010
55,35th International Symposium on Mathematical Foundations of Computer Science,"Brno, Czech Republic",23/08/2010,15/04/2010,28/05/2010,14/06/2010,35th International Symposium on Mathematical Foundations of Computer Science,Poland,10/04/2010,10/04/2010,28/05/2010,14/06/2010
56,The First IEEE Biomedical Circuits and Systems Conference,"Paphos, Cyprus",03/11/2010,18/06/2010,27/08/2010,17/09/2010,The First IEEE Biomedical Circuits and Systems Conference,IEEE,01/06/2010,01/06/2010,27/08/2010,17/09/2010
57,"1st International ICST Conference on e-services for Agriculture, Food, Environment and Life Sciences in Africa","Johannesburg, South Africa",08/09/2010,04/04/2010,03/05/2010,04/06/2010,"1st International ICST Conference on e-services for Agriculture, Food, Environment and Life Sciences in Africa",Greece,08/09/2010,02/04/2010,03/05/2010,04/06/2010
58,2nd International ICST Conference on Ambient Media and Systems,"Phoenix, Arizona, USA",02/12/2010,31/05/2010,15/08/2010,30/09/2010,2nd International ICST Conference on Ambient Media and Systems,Italy,01/05/2010,01/05/2010,15/08/2010,30/09/2010
59,3rd International ICST Conference on Electronic Healthcare for the 21st century,"Casablanca, Morocco",13/12/2010,01/06/2010,02/08/2010,20/09/2010,3rd International ICST Conference on Electronic Healthcare for the 21st century,Istanbul,13/12/2010,01/06/2010,02/08/2010,20/09/2010
60,1st International ICST Conference on Wireless Mobile Communication and Healthcare,"Ayia Napa, Cyprus",18/10/2010,30/04/2010,30/06/2010,30/07/2010,1st International ICST Conference on Wireless Mobile Communication and Healthcare,USA,18/10/2010,30/04/2010,30/06/2020,30/07/2010
61,2nd International ICST Conference on Digital Forensics & Cyber Crime,"Abu Dhabi, UAE",04/10/2010,01/05/2010,15/06/2010,01/08/2010,2nd International ICST Conference on Digital Forensics & Cyber Crime,the United Arab Emirates,01/05/2010,01/05/2010,15/06/2010,
62,International Conference on Green Computing,"Chicago, USA",15/08/2010,15/03/2010,30/04/2010,15/05/2010,International Conference on Green Computing,Chicago,15/08/2010,15/03/2010,30/04/2010,15/05/2010
63,The 8th International Conference on Advances in Mobile Computing & Multimedia,"Paris, France",08/11/2010,04/06/2010,09/08/2010,30/08/2010,The 8th International Conference on Advances in Mobile Computing & Multimedia,Paris,08/11/2010,04/06/2010,09/08/2010,30/08/2010
64,5th International Workshop on Distributed Cooperative Laboratories: Instrumenting the Grid,"Poznan, Poland",12/05/2010,28/02/2010,31/03/2010,15/04/2010,5th International Workshop on Distributed Cooperative Laboratories: Instrumenting the Grid,INGRID,12/05/2010,15/04/2010,31/03/2010,15/04/2010
65,COPECH: Collaboration tools for Preservation of Environment and Cultural Heritage,"Larissa, Greece",28/06/2010,02/03/2010,02/04/2010,14/04/2010,Collaboration Tools for Preservation of Environment and Cultural Heritage,WETICE2010,28/06/2010,02/03/2010,,14/04/2010
66,20th Annual International Conference on Computer Science and Software Engineering,"Toronto, Canada",01/11/2010,07/06/2010,26/07/2010,25/08/2010,20th Annual International Conference on Computer Science and Software Engineering,Toronto,04/11/2010,27/04/2020,26/07/2010,25/08/2010
67,Fine Gigapan International Conference on Gigapixel Imaging for Science,"Pittsburgh, USA",11/11/2010,14/06/2010,06/08/2010,23/08/2010,"The conference aims to explore innovative use of gigapan in the classroom, the field and the laboratory by leading scientists",Pittsburgh,11/11/2010,,,
68,International Conference on Computational Systems Biology,"Suzhou, China",09/09/2010,01/05/2010,01/06/2010,01/07/2010,"(Deadline for electronic submission of contributions: May 1, 2010)",Suzhou,09/09/2010,01/05/2010,01/06/2010,01/07/2010
69,2010 International Conference on Circuit and Signal Processing,"Shenzhen, China",09/10/2010,30/05/2010,30/06/2010,15/07/2010,ICCSP is a leading Asia-Pacific Conference on Circuit and Signal Processing,Shenzhen,09/10/2010,30/05/2010,30/06/2010,
70,CfP: Workshop on Collaborative Modeling and Simulation (CoMetS),Larissa - Greece,28/06/2010,02/03/2010,02/04/2010,14/04/2010,1st International Workshop on      Collaborative Modeling and Simulation ,Greece,02/03/2010,02/03/2010,,14/04/2010
71,Knowledge Engineering in Global Software Development Workshop,Princeton,23/08/2010,31/03/2010,23/04/2010,28/05/2010,Knowledge Engineering in Global Software Development Workshop (KNOWING),,23/08/2010,15/03/2010,23/04/2010,28/05/2010
72,1st International Workshop on Recent Trends in SOA Based Information Systems,"Funchal, Madeira, Portugal",08/06/2010,08/03/2010,06/04/2010,21/04/2010,1st International Workshop on     Recent Trends in SOA Based Information Systems,Word,08/06/2010,08/03/2010,06/04/2010,21/04/2010
73,5th International ICST Conference on Access Networks,"Budapest, Hungary",03/11/2010,02/05/2010,04/07/2010,31/08/2010,"The conference will consist of technical sessions, industry track, workshops and panels",Budapest,14/03/2010,01/05/2010,04/07/2010,31/08/2010
74,"3rd International ICST Conference on Forensic Applications and Techniques in Telecommunications, Information and Multimedia","Shanghai, China",10/11/2010,01/04/2010,01/06/2010,01/08/2010,"Technical papers describing original, previously unpublished research, not currently under review by another conference or journal, are solicited",China,06/02/2010,01/04/2010,01/06/2010,01/08/2010
75,Cognitive Aspects of the Lexicon,"Beijing, China",22/08/2010,30/05/2010,30/05/2010,10/07/2010,"2nd SIGLEX endorsed COLING Workshop (August 22, 2010, Beijing)",Beijing,17/08/2010,30/05/2010,30/06/2010,10/07/2010
76,Annual Conference of the Prognostics and Health Management Society,"Portland, USA",10/10/2010,24/05/2010,12/07/2010,23/08/2010,The 2010 conference is going to be colocated with the 21st Annual Workshop on the Principles of Diagnosis (DX'10),Portland,10/10/2010,24/05/2010,,23/08/2010
77,Third Workshop on Transforming and Weaving OWL Ontologies in MDE/MDA,"Malaga, Spain",30/06/2010,15/04/2010,14/05/2010,31/05/2010,"at TOOLS 2010 federated conferences, Malaga, Spain",Malaga,30/06/2010,15/04/2010,14/05/2010,31/05/2010
78,First IEEE International Workshop on Engineering Mobile Service Oriented Systems collocated with SCC 2010,"Miami, Florida, USA,",05/06/2010,20/04/2010,30/04/2010,07/05/2010,First IEEE International Workshop on Engineering Mobile Service Oriented Systems (EMSOS) collocated with SCC 2010,Miami,20/04/2010,20/04/2010,30/04/2010,07/05/2010
79,Eighteenth Italian Symposium on Advanced Database Systems,"Rimini, Italy",20/06/2010,12/03/2010,03/05/2010,14/05/2010,The Eighteenth Italian Symposium on Advanced Database Systems,Rimini,01/01/2008,01/01/2008,03/05/2010,14/05/2010
80,ACM SIGPLAN Fifth Workshop on Programming Languages and Analysis for Security,"Toronto, Canada",10/06/2010,12/03/2010,23/04/2010,10/05/2010,Fifth ACM SIGPLAN Workshop on          Programming Languages and Analysis for Security,Toronto,10/06/2010,12/03/2010,23/04/2010,
81,22nd IEEE International Conference on Tools with Artificial Intelligence,Arras (France),27/10/2010,06/06/2010,15/07/2010,31/08/2010,22nd International IEEE  Conference on Tools with Artificial Intelligence,Arras,27/10/2010,06/06/2010,15/07/2010,31/08/2010
82,First International Workshop on Seamless Wireless Mobility,"Miami, Florida, USA",10/12/2010,11/07/2010,13/08/2010,31/08/2010,First International Workshop on               Seamless Wireless Mobility,Miami,10/12/2010,11/07/2010,13/08/2010,31/08/2010
83,2nd International Workshop on Dynamic Networks - Algorithms and Security,"Bordeaux, France",05/07/2010,10/04/2010,10/05/2010,22/05/2010,2nd International Workshop on            Dynamic Networks - Algorithms and Security,Bordeaux,22/05/2010,10/04/2010,10/05/2010,22/05/2010
84,2nd Workshop on Collaboratively Constructed Semantic Resources,"Beijing, China",28/08/2010,30/05/2010,30/06/2010,10/07/2010,"The workshop builds upon the success of the first ACL ""The People's Web",Beijing,28/08/2010,30/05/2010,30/06/2010,10/07/2010
85,The Ninth Biennial Conference  of the Association for Machine Translation in the Americas,"Denver, Colorado",31/10/2010,24/05/2010,05/07/2010,16/08/2010,The Ninth Biennial Conference of,Denver,01/11/2020,27/04/2020,05/07/2020,16/08/2020
86,"4th International Workshop on Architectures, Concepts and Technologies for Service Oriented Computing","Athens, Greece",23/07/2010,30/04/2010,12/05/2010,19/05/2010,"4th International Workshop on              Architectures, Concepts and Technologies for ",Athens,30/04/2010,30/04/2010,04/05/2010,19/05/2010
87,LREC 2010 Workshop on  Web Logs and Question Answering,"Valletta, Malta",22/05/2010,12/02/2010,12/03/2010,19/03/2010,LREC 2010 Workshop on Web Logs and Question Answering,Valletta,22/05/2010,12/02/2010,12/03/2010,12/03/2010
88,IEEE International Conference on Computational Intelligence for Measurement Systems and Applications,"Taranto, Italy",06/09/2010,15/04/2010,28/05/2010,01/07/2010,2010 IEEE International Conference on Computational Intelligence for Measurement Systems and Applications,Italy,08/09/2010,15/04/2010,28/05/2010,
89,First Workshop on Secure Control Systems,"Stockholm, Sweden",12/04/2010,08/02/2010,25/02/2010,22/03/2010,"The First Workshop on Secure Control Systems (SCS) will be held April 12, 2010 in Stockholm, Sweden as part of the 13th International Conference on Hybrid Systems: Computation and Control (HSCC) which is one of five conferences associated with CPSWeek 2010.",Stockholm,12/04/2010,,,
90,The 3rd International Conference on Image and Signal Processing (CISP 2010) and the 3rd International Conference on BioMedical Engineering and Informatics (BMEI 2010),"Yantai, China",16/10/2010,15/04/2010,15/05/2010,15/06/2010,Undulating hills rise above the area's many rivers and are framed by beaches and neighboring islands,Yantai,16/10/2010,,,
91,Computational Linguistics - Applications,"Wroclaw, Poland",18/10/2010,31/05/2010,12/07/2010,23/08/2010,CLA'10-NL1 :: Computational Linguistics - Applications (CLA'10) Preliminary Announcement,Poland,18/10/2010,31/05/2010,12/07/2010,23/08/2010
92,"TEXT, SPEECH and DIALOGUE","Brno, Czech Republic",06/09/2010,20/03/2010,13/05/2010,31/05/2010,TSD 2010 - FIRST CALL FOR PAPERS,Czech Republic,10/09/2010,,,
93,The 2nd International Workshop on Web-based Contents Management Technologies,"Jiuzhai Valley, China",15/07/2010,30/01/2010,20/03/2010,01/04/2010,The 2nd International Workshop on Web-based Contents Management Technologies(WCMT 2010),Jiuzhai Valley,14/07/2010,30/01/2010,20/03/2010,01/04/2010
94,8th IEEE International Conference on Industrial Informatics,"Osaka, Japan",13/07/2010,23/01/2010,20/03/2010,20/04/2010,(the 8th IEEE International Conference on Industrial Informatics ) has been EXTENDED,Osaka,13/07/2010,01/01/2010,20/03/2010,01/04/2010
95,"The Fifth International Conference on Wireless Algorithms, Systems and Applications","Beijing, China",15/08/2010,28/03/2010,15/05/2010,01/06/2010,"The Fifth International Conference on Wireless Algorithms,",Beijing,15/08/2010,28/05/2010,15/05/2010,01/06/2010
96,1st International Workshop on Workflow Approaches for New Data-Centric Science,"Indianapolis, IN, USA",06/06/2010,02/03/2010,30/04/2010,28/05/2010,1st International Workshop on Workflow Approaches for New Data-Centric Science,Indianapolis,06/06/2020,02/03/2020,30/04/2020,28/05/2020
97,"1st International Workshop on Adaptation, Personalization and REcommendation in the Social-semantic Web","Heraklion, Greece",31/05/2010,15/03/2010,05/04/2010,18/04/2010,"1st International Workshop on Adaptation, Personalization and REcommendation",Greece,01/05/2010,01/03/2010,05/04/2010,18/04/2010
